Company Code,Company Name,Category,Registration Status,Validity Period,Bumiputera Status,Bumiputera Validity,Certificate No,Classifications
SA2012769,RANGER 953 ENTERPRISE,Works,Valid,2/9/2028,yes,2/9/2028,UPK-K/09412,"F-I-1, F-I-4a, F-I-4b, F-I-4c, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-4a, E-IV-4b"
SA20170919,RASA SAYANG ENTERPRISE,Works,Valid,21/06/2027,yes,21/06/2027,UPK-K/13201,"F-I-1, F-I-2iic, F-I-3iia, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SA20190777,RB ENTERPRISE,Works,Expired,16/11/2025,yes,16/11/2025,UPK-K/14262,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-2ic, E-I-2iic, E-I-3ia, E-I-3iia, E-I-3b, E-I-3c, E-I-4a, E-I-4b, E-I-4c, E-I-4d, E-I-5a, E-I-5b, E-I-6, E-I-7, E-I-8, E-II-1a, E-II-1b, E-II-1c, E-II-1d, E-II-2a, E-II-2b, E-II-3a, E-II-3b, E-II-3c, E-II-4, E-II-5a, E-II-5b, E-II-5c, E-II-6, E-II-6a, E-II-6b, E-II-7, E-II-8, E-II-9, E-II-10a, E-II-10b, E-II-10c, E-II-10d, E-II-10e, E-II-11, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c"
904/96,REJANG BASIN ENTERPRISE,Works,Expired,2/10/2025,yes,2/10/2025,UPK-K/09173,"F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-2b, E-IV-3"
SA20161335,RIANNA CONTRACTOR ENTERPRISE,Works,Valid,11/6/2026,yes,11/6/2026,UPK-K/13034 & UPK-B/05862,"F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-2iic, E-I-3ia, E-I-3iia, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c"
783/85,RICHARD U & CO.,Works,Valid,17/08/2027,yes,17/08/2027,UPKJ/W/006253,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-2ic, E-I-2iic, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-7, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-3a, E-III-3b, E-III-3c, E-VI-5b"
SA20181161,RIVER GOLD ENTERPRISE,Works,Valid,31/08/2027,yes,31/08/2027,UPK-K/13862,"F-I-1, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c"
SA20171265,ROBERT . J. GENERAL CONTRACTOR,Works,Expired,22/12/2025,yes,22/12/2025,,"F-II-5a, F-II-5b"
SA2008567,RS TRADING & CONTRACTOR,Works,Valid,8/10/2027,yes,8/10/2027,UPK-K/13709,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-II-7, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-4a, E-IV-4b, E-VI-5b"
92/00,SABACON CONSTRUCTION,Works,Valid,27/08/2027,yes,27/08/2027,UPKJ-K/04382,"E-I-1, E-I-4a, E-I-4b, E-I-4c, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6, E-IV-1b, E-IV-2a, E-IV-4a, E-IV-4b, E-VI-5a, E-VI-5b"
SA20170617,SAFA ENTERPRISE,Works,Valid,23/10/2026,yes,23/10/2026,UPK-K/10812,"F-I-1, F-I-2ib, F-I-2iib, F-II-6a, F-II-6b"
SA2013589,SALLEH ENTERPRISE,Works,Valid,30/07/2027,yes,30/07/2027,"UPK-K/10321, UPK-E/00747 & UPK-B/05066","F-I-1, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SA20111142,SAPMA ENTERPRISE,Works,Valid,19/06/2026,yes,19/06/2026,UPK-K/12748,F-I-1
439/99,SARABAN CONSTRUCTION COMPANY,Works,Expired,30/07/2025,yes,30/07/2025,UPK-K/08962,"E-I-1, E-I-2ib, E-I-2iib, E-II-1a, E-II-1b, E-II-2a, E-II-2b, E-II-5a, E-II-5c, E-II-6a, E-II-6b, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-IV-4a, E-IV-4b, E-VI-5ia, E-VI-5iia, E-VI-5b"
SA20170584,SATRIA BAKTI ENGINEERING,Works,Valid,2/4/2027,yes,2/4/2027,UPK-K/13088 & UPK-B/05873,"E-I-1, E-I-4a, E-I-4b, E-I-4c, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-3a, E-II-3b, E-II-3c, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b"
132/92,SCORPIONS ENTERPRISE,Works,Valid,25/05/2027,yes,25/05/2027,UPK-K/11816,"E-I-1, E-I-2ia, E-I-2iia, E-II-1a, E-II-1b, E-II-1c, E-II-1d, E-II-2a, E-II-2b, E-II-3a, E-II-3b, E-II-3c, E-II-4, E-II-5a, E-II-5b, E-II-5c, E-II-6, E-II-6a, E-II-6b, E-II-7, E-II-8, E-II-9, E-II-10a, E-II-10b, E-II-10c, E-II-10d, E-II-10e, E-II-11, E-III-1a, E-III-1d, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-IV-4a, E-IV-4b"
SA20150490,SEREMBAI ENTERPRISE,Works,Valid,23/03/2027,yes,23/03/2027,UPK-K/12580,"F-I-1, F-I-3b, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b, F-III-1d"
380/01,SERIBU JAYA CONSTRUCTION,Works,Valid,3/5/2028,yes,3/5/2028,UPK-K/12002,"F-I-1, F-I-2ia, F-I-2iia, F-II-5a, F-II-5b, F-II-5c, F-III-1a, F-III-1b, F-III-1d, F-III-1e, F-III-2a"
SA2011998,SHAHIMAS ENTERPRISE,Works,Valid,22/01/2027,yes,22/01/2027,A/6544() & UPK-B/05889,"F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-II-1a, F-II-1b, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1c, F-III-1d"
3-Feb,SINAR CAHAYA DUA ENTERPRISE,Works,Valid,3/12/2027,yes,3/12/2027,UPK-K/12925 & UPK-B/05819,"E-I-1, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-IV-4a, E-IV-4b"
SA20141628,SINAR PETER ENTERPRISE,Works,Valid,11/6/2026,yes,11/6/2026,-,"F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e"
SA2009684,SL JAYA & SERVICES CONTRACTOR,Works,Valid,6/4/2026,yes,6/4/2026,"UPK-K/11280, UPK-M/00686 & UPK-B/05002","F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-1a, E-III-1a, E-III-1b, E-IV-4b, E-VI-5iia, E-VI-5b"
535/99,SONO ENTERPRISE,Works,Valid,9/6/2026,yes,9/6/2026,"UPK-K/11587, UPK-M/00721 & UPK-B/02280","E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-3iia, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-II-7, E-III-1a, E-III-1b, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1b, E-IV-4a, E-IV-4b, E-VI-5ia, E-VI-5iia, E-VI-5b, E-VI-6"
903/96,SQUAUIAN ENTERPRISE,Works,Valid,8/12/2027,yes,8/12/2027,UPKJ-K/08709,"E-I-1, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3c, E-IV-1b, E-IV-4a, E-IV-4b, E-VI-5ia, E-VI-5iia, E-VI-5b"
SA20111523,SRI BANYOK ENTERPRISE CO.,Works,Expired,1/6/2022,yes,1/6/2022,UPK-K/09229,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
304/85,SRI RAJANG CONTRACTOR,Works,Valid,20/04/2027,yes,20/04/2027,UPK-K/12998,"F-I-1, F-I-2iia, F-III-2a, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-II-7"
SA20111363,SRI WAJAH ENTERPRISE,Works,Valid,24/02/2027,yes,24/02/2027,UPK-K/11304 & UPK-B/05300,"E-I-1, E-I-2iic, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-II-7, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-3, E-IV-4a, E-IV-4b, E-VI-5b"
SA20081292,SUKABUMI CONSTRUCTION CO.,Works,Expired,13/05/2021,yes,13/05/2021,UPK-K/10986,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11, D-I-1, D-I-2ia, D-I-2iia, D-I-2ib, D-I-2iib, D-I-2ic, D-I-2iic, D-I-3ia, D-I-3iia, D-I-3b, D-I-3c, D-I-4a, D-I-4b, D-I-4c, D-I-4d, D-I-5a, D-I-5b, D-I-6, D-I-7, D-I-8, D-III-1a, D-III-1b, D-III-1c, D-III-1d, D-III-1e, D-III-2a, D-III-2b, D-III-2c, D-III-2d, D-III-3a, D-III-3b, D-III-3c, D-III-4a, D-III-4b, D-III-4c"
SA20161472,SUPER TWIN ENTERPRISE,Works,Valid,14/08/2026,yes,14/08/2026,UPK-K/10360 & UPK-B/05060,"E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-4a, E-IV-4b, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7"
1135781-M,SUTERA MUDA SDN. BHD.,Works,Expired,9/11/2025,yes,9/11/2025,,"A-I-1, A-II-1a, A-II-1b, A-II-1c, A-II-2a, A-II-2b, A-II-3a, A-II-3c, A-II-5a, A-II-5b, A-II-5c, A-II-6a, A-II-6b, A-II-7, A-III-1a, A-III-1b, A-III-1c, A-III-1d, A-III-1e, A-III-2a, A-III-2b, A-III-2c, A-III-2d, A-III-4c, A-IV-1a, A-IV-1b, A-IV-2a, A-IV-4a, A-IV-4b"
SA20171090,SYAFEEYA ENTERPRISE,Works,Valid,3/12/2027,yes,3/12/2027,UPK-K/11388,"F-II-5a, F-II-5b"
SA20170646,SYAHIRAH ENTERPRISE,Works,Valid,2/2/2027,yes,2/2/2027,UPK-K/11340,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-2ic, E-I-2iic, E-I-3ia, E-I-3iia, E-I-3b, E-I-3c, E-I-4a, E-I-4b, E-I-4c, E-I-4d, E-I-5a, E-I-5b, E-I-6, E-I-7, E-I-8, E-II-1a, E-II-1b, E-II-1c, E-II-1d, E-II-2a, E-II-2b, E-II-3a, E-II-3b, E-II-3c, E-II-4, E-II-5a, E-II-5b, E-II-5c, E-II-6, E-II-6a, E-II-6b, E-II-7, E-II-8, E-II-9, E-II-10a, E-II-10b, E-II-10c, E-II-10d, E-II-10e, E-II-11"
661/91,SYARIKAT AL-FA KONTRAKTOR,Works,Valid,25/05/2026,yes,25/05/2026,UPK-K/06140 & UPK-B/03365,"F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1d, F-III-2a"
475/85,SYARIKAT ALICO,Works,Expired,22/12/2025,yes,22/12/2025,"UPK-K/06522, UPK-B/00388 & UPK-B/05185","E-IV-1a, E-IV-1b, E-IV-2a, E-IV-4a, E-IV-4b, E-VI-5b, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b"
SA20151302,SYARIKAT AYUNA,Works,Expired,10/4/2022,yes,10/4/2022,,"F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-I-2ic, F-I-2iic, F-I-3ia, F-I-3iia, F-I-3b, F-I-3c, F-I-4a, F-I-4b, F-I-4c, F-I-4d, F-I-5a, F-I-5b, F-I-6, F-I-7, F-I-8, F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
816/96,SYARIKAT AZZATY,Works,Valid,28/08/2027,yes,28/08/2027,UPK-K/08995,"E-I-1, E-I-4a, E-I-4b, E-I-4c, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-6a, E-II-6b, E-II-7, E-III-1a, E-III-1b, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c"
120/97,SYARIKAT BELALANG MAS,Works,Valid,17/07/2026,yes,17/07/2026,UPK-K/12278,"F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-I-3ia, F-I-3iia, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-IV-1a, E-IV-1b, E-IV-4a, E-IV-4b, E-VI-5ia, E-VI-5iia, E-VI-5b, E-VI-5c, E-VI-6"
541/82,SYARIKAT BERJAYA BERSATU,Works,Valid,4/5/2026,yes,4/5/2026,541/82,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-2ic, E-I-2iic, E-I-4a, E-I-4b, E-I-4c, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-4a, E-IV-4b, E-VI-5ia, E-VI-5iia, E-VI-5b"
276/89,SYARIKAT BINTANG JAYA,Works,Valid,16/10/2026,yes,16/10/2026,UPK-K/06569,"D-I-1, D-I-4a, D-I-4c, D-II-1a, D-II-1b, D-II-1c, D-II-2a, D-II-2b, D-II-5a, D-II-5b, D-II-5c, D-II-6a, D-II-6b, D-II-7, D-III-1a, D-III-1b, D-III-1c, D-III-1d, D-III-1e, D-III-2a, D-III-2b, D-III-2c, D-III-2d, D-III-3a, D-III-3b, D-III-3c, D-IV-1b, D-IV-2a, D-IV-4a, D-IV-4b, D-VI-5ia, D-VI-5iia, D-VI-5b"
SA20170393,SYARIKAT BUDI EMAS,Works,Valid,22/06/2026,yes,22/06/2026, ,"E-II-2a, E-II-2b, E-II-6a, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-3, E-IV-4a, E-IV-4b"
SA2012653,SYARIKAT BUMI BERJASA,Works,Valid,24/04/2027,yes,24/04/2027,,"F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1d"
SA20081096,SYARIKAT BUMINIAGA,Works,Expired,24/05/2020,yes,24/05/2020, ,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
165/00,SYARIKAT BUSDYNOR,Works,Expired,3/1/2022,yes,3/1/2022, ,"F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-I-2ic, F-I-2iic, F-I-3ia, F-I-3iia, F-I-3b, F-I-3c, F-I-4a, F-I-4b, F-I-4c, F-I-4d, F-I-5a, F-I-5b, F-I-6, F-I-7, F-I-8, F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SA20170979,SYARIKAT CAHAYA BULAN ENTERPRISE,Works,Expired,22/04/2021,yes,22/04/2021, ,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
91/00,SYARIKAT CAHAYA MANTIS,Works,Expired,10/3/2026,yes,10/3/2026, ,"F-I-1, F-I-2iib, F-I-3iia, F-I-4a, F-I-4b, F-I-4c, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e"
621/04,SYARIKAT GALANG ENTERPRISE,Works,Expired,21/10/2021,yes,21/10/2021,UPK-K/05815,"E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c"
302/96,SYARIKAT GANING TRADING,Works,Expired,30/12/2024,yes,30/12/2024,UPK-K/05814,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-II-1a, E-II-1b, E-II-5a, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-1a"
726/98,SYARIKAT ILHAM,Works,Valid,14/05/2027,yes,14/05/2027,UPK-K/11979,"C-I-1, C-I-2ib, C-I-2iib, C-II-1a, C-II-1b, C-II-1c, C-II-2a, C-II-2b, C-II-3a, C-II-5a, C-II-5b, C-II-5c, C-III-1a, C-III-1b, C-III-1d, C-III-1e, C-III-2a, C-III-2b, C-III-2c, C-III-2d, C-III-3a, C-III-3b, C-III-3c, C-IV-1b, C-IV-2a, C-IV-4a, C-IV-4b, C-VI-5b"
938/02,SYARIKAT JAYA CONSTRUCTION,Works,Valid,19/01/2027,yes,19/01/2027,UPK-K/12600,"D-I-1, D-I-4a, D-I-4b, D-I-4c, D-III-1a, D-III-1b, D-III-1c, D-III-1d, D-III-1e, D-III-2a, D-III-2b, D-III-2c, D-III-2d, D-III-3a, D-III-3b, D-III-3c, D-III-4a, D-III-4b, D-III-4c, E-VI-5b"
 SA20151190,SYARIKAT K & S ENTERPRISE,Works,Valid,18/02/2027,yes,18/02/2027,UPK-K/13074 & C/3854(5),"F-I-1, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-III-1b, F-III-1d, F-III-2a"
SA20161213,SYARIKAT KASSIM BINA,Works,Valid,19/06/2026,yes,19/06/2026,UPK-K/12625,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-2iic, E-I-3ia, E-I-3iia, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-II-7, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-2b, E-IV-4a, E-IV-4b, E-VI-5ia, E-VI-5iia, E-VI-5b, E-VI-5c, E-VI-5d, E-VI-6"
691/92,SYARIKAT MASLAMA,Works,Expired,6/12/2022,yes,6/12/2022,UPK-K/09494,"F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1d"
596/97,SYARIKAT MMA BUMI,Works,Expired,19/02/2025,yes,19/02/2025,UPK-K/12904 & C/1795(22),"C-II-1a, C-II-1b, C-II-1c, C-II-1d, C-II-2a, C-II-2b, C-II-3a, C-II-3b, C-II-3c, C-II-4, C-II-5a, C-II-5b, C-II-5c, C-II-6, C-II-6a, C-II-6b, C-II-7, C-II-8, C-II-9, C-II-10a, C-II-10b, C-II-10c, C-II-10d, C-II-10e, C-II-11, C-II-1a, C-II-1ib, C-II-1iib, C-II-1c, C-II-1id, C-II-1iid, C-II-2a, C-II-2b, C-II-2c, C-II-2d, C-II-3i, C-II-3ii, C-II-3iii, C-II-4a, C-II-4b, C-II-4c, C-II-4d, C-II-4e, C-II-4f, C-II-5ia, C-II-5iia, C-II-5iiia, C-II-5ib, C-II-5iib, C-II-5iiib, C-II-5c, C-II-6a, C-II-6b, C-II-6c, C-II-6d, C-II-6e, C-II-6f, C-II-6g, C-II-7a, C-II-7b, C-II-7c, C-II-7d, C-II-7e, C-II-7f, C-II-8a, C-II-8b, C-II-8c, C-II-8d, C-II-8e, C-II-9a, C-II-9b, C-II-9c, C-II-10, C-II-11a, C-II-11b, C-II-11c, C-II-12, D-I-1, D-I-2ib, D-I-2iib, D-I-2iic, D-I-3iia, D-I-4a, D-I-4b, D-I-4c, D-III-1a, D-III-1b, D-III-1c, D-III-1d, D-III-1e, D-III-2a, D-III-2b, D-III-2c, D-III-2d, D-III-3a, D-III-3b, D-III-3c, D-III-4a, D-III-4b, D-III-4c, D-IV-1a, D-IV-1b, D-IV-2a, D-IV-3, D-IV-4a, D-IV-4b, D-VI-5ia, D-VI-5iia, D-VI-5b, D-VI-5c, D-VI-5d, D-VI-6"
SA2014995,SYARIKAT MOHASEL KONTRAKTOR,Works,Valid,21/03/2027,yes,21/03/2027,UPKJ/W/000592,"F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-I-2iic, F-I-3ia, F-I-3iia, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SA2013373,SYARIKAT MYA ENTERPRISE,Works,Expired,24/05/2020,yes,24/05/2020,UPK-K/10200,"F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SA2013159,SYARIKAT NAJEBA,Works,Expired,6/12/2020,yes,6/12/2020,UPK-K/07243,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
643/92,SYARIKAT PENGHANTARAN NUSAPUTERA,Works,Expired,27/08/2025,yes,27/08/2025,UPK-K/13867,"F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, E-I-1, E-I-2iia, E-I-2iib, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-3a, E-III-3b, E-III-3c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-4a, E-IV-4b, E-VI-5b"
